ID,ANC_M,HANDSET,STATUT,CLASSE_CANAL,TARGET,FLAG_CHURN,SCORE_FORFAIT,PRED_FORFAIT,SEGMENT_FORFAIT,SCORE_CHURN,PRED_CHURN,RISQUE_CHURN,ACTION_RECOMMANDEE
C81106402,16,4G,A,Reseau direct,1,0,0.6216307,1,Cible Potentielle,0.03628624,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C14046488,13,4G,A,Reseau direct,0,0,0.6216307,1,Cible Potentielle,0.053339247,0,Risque Eleve,RETENTION URGENTE — appel proactif immédiat
C87996635,6,2G,A,Reseau indirect,0,0,0.6216089,1,Cible Potentielle,0.052602626,0,Risque Eleve,RETENTION URGENTE — appel proactif immédiat
C44616302,20,4G,A,,1,0,0.6216058,1,Cible Potentielle,0.02876276,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C42546054,27,4G,A,Reseau indirect,0,0,0.6215606,1,Cible Potentielle,0.013449288,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C75546096,26,4G,A,Reseau indirect,1,0,0.6215606,1,Cible Potentielle,0.014367317,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C71386074,26,4G,A,Reseau indirect,0,0,0.6215606,1,Cible Potentielle,0.014242161,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C50056046,27,4G,A,Reseau indirect,0,0,0.6215606,1,Cible Potentielle,0.013449288,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C35465887,31,4G,A,Reseau indirect,0,0,0.62154984,1,Cible Potentielle,0.015888764,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C12986707,3,4G,A,Reseau indirect,0,0,0.6215209,1,Cible Potentielle,0.03190222,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C33125364,44,4G,A,,0,0,0.6215202,1,Cible Potentielle,0.00879243,0,Risque Faible,NURTURING — pack Combo Voix+Data
C82556710,3,4G,A,Reseau direct,1,0,0.6214964,1,Cible Potentielle,0.008984482,0,Risque Faible,NURTURING — pack Combo Voix+Data
C21664507,71,4G,A,Reseau direct,1,0,0.62149495,1,Cible Potentielle,0.014227253,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C64006590,8,4G,A,Reseau direct,0,0,0.6214548,1,Cible Potentielle,0.02528102,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C23046605,8,4G,A,Reseau direct,0,0,0.6214548,1,Cible Potentielle,0.02528102,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C08684865,58,4G,A,Reseau direct,0,0,0.62142575,1,Cible Potentielle,0.011727876,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C95836623,7,4G,A,,1,0,0.6214086,1,Cible Potentielle,0.037338387,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C02716098,25,4G,A,Reseau direct,1,0,0.6213411,1,Cible Potentielle,0.019588126,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C23606116,25,4G,A,Reseau direct,0,0,0.6213411,1,Cible Potentielle,0.019588126,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C73416114,25,4G,A,Reseau direct,0,0,0.6213411,1,Cible Potentielle,0.019588126,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C88956445,15,4G,A,,1,0,0.6213143,1,Cible Potentielle,0.026391203,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C62076620,7,5G,A,Reseau direct,0,0,0.62119424,1,Cible Potentielle,0.022113053,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C79844322,68,4G,A,Reseau indirect,1,1,0.62110466,1,Cible Potentielle,0.9452828,1,Risque Eleve,RETENTION URGENTE — appel proactif immédiat
C34626380,17,4G,A,Reseau direct,0,0,0.62104493,1,Cible Potentielle,0.03245071,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C37496385,17,4G,A,Reseau direct,1,0,0.62104493,1,Cible Potentielle,0.03245071,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C03216686,4,4G,A,Reseau indirect,0,0,0.6210392,1,Cible Potentielle,0.039756034,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C17716683,4,4G,A,Reseau indirect,1,0,0.6210392,1,Cible Potentielle,0.039756034,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C2069_241,200,,A,,0,0,0.621036,1,Cible Potentielle,0.06837016,0,Risque Eleve,RETENTION URGENTE — appel proactif immédiat
C92336471,13,,A,Reseau direct,1,0,0.6210076,1,Cible Potentielle,0.27074838,0,Risque Eleve,RETENTION URGENTE — appel proactif immédiat
C51411902,137,4G,A,,0,0,0.6209789,1,Cible Potentielle,0.005349593,0,Risque Faible,NURTURING — pack Combo Voix+Data
C76401898,140,4G,A,,1,0,0.6209789,1,Cible Potentielle,0.005349593,0,Risque Faible,NURTURING — pack Combo Voix+Data
C11216665,5,4G,A,Reseau indirect,1,0,0.6208486,1,Cible Potentielle,0.029443236,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C65056668,5,4G,A,Reseau indirect,1,0,0.6208486,1,Cible Potentielle,0.029443236,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C08354920,56,4G,A,Reseau direct,1,0,0.6208394,1,Cible Potentielle,0.011536265,0,Risque Faible,NURTURING — pack Combo Voix+Data
C76981565,151,4G,A,,1,0,0.62081134,1,Cible Potentielle,0.006876935,0,Risque Faible,NURTURING — pack Combo Voix+Data
C98901927,141,4G,A,,0,0,0.62081134,1,Cible Potentielle,0.0077664354,0,Risque Faible,NURTURING — pack Combo Voix+Data
C29216051,27,4G,A,Reseau direct,1,0,0.6207406,1,Cible Potentielle,0.03234865,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C06505941,30,4G,A,Reseau direct,0,0,0.6206854,1,Cible Potentielle,0.011128307,0,Risque Faible,NURTURING — pack Combo Voix+Data
C15085032,52,5G,A,Reseau direct,1,0,0.62067807,1,Cible Potentielle,0.01120104,0,Risque Faible,NURTURING — pack Combo Voix+Data
C06846636,6,3G,A,Reseau direct,0,0,0.6206735,1,Cible Potentielle,0.032175586,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C22162514,89,4G,A,,0,0,0.6206715,1,Cible Potentielle,0.0048523974,0,Risque Faible,NURTURING — pack Combo Voix+Data
C67304408,75,2G,A,Reseau direct,1,0,0.62064725,1,Cible Potentielle,0.010344245,0,Risque Faible,NURTURING — pack Combo Voix+Data
C34914129,79,2G,A,Reseau direct,0,0,0.62064725,1,Cible Potentielle,0.012032232,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C43005517,40,4G,A,,0,0,0.62062466,1,Cible Potentielle,0.013062077,0,Risque Moyen,NURTURING — pack Combo Voix+Data
