ID,ANC_M,HANDSET,OFFRE_CAT,RECENCY,FREQUENCY,MONETARY,RFM_SCORE,SEGMENT_RFM,CHURN,SCORE_CHURN,RISQUE_CHURN,ACTION_RETENTION
C96626441,15,4G,Bonus,5.0,5.0,276.0,6,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C78406443,15,4G,Bonus,4.0,1.0,15.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C13026445,15,4G,Bonus,4.0,8.0,171.0,6,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C5698_644,280,4G,Standard,4.0,4.0,21.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C26746448,15,4G,Bonus,3.0,9.0,254.0,7,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C41206449,14,4G,Ad-On,4.0,3.0,41.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C19516450,14,2G,Standard,12.0,0.0,0.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C06526451,14,4G,Standard,3.0,3.0,15.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C32746452,14,4G,Bonus,5.0,3.0,3.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C82543432,88,4G,Standard,5.0,4.0,14.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C10606455,14,5G,Bonus,4.0,8.0,219.0,6,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C98736455,14,4G,Standard,6.0,1.0,1.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C16416459,14,4G,Standard,6.0,2.0,4.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C44896460,14,2G,Standard,4.0,5.0,17.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C95816461,14,4G,Standard,3.0,8.0,248.88,7,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C14855980,28,4G,Bonus,3.0,2.0,20.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C94606465,14,4G,Standard,3.0,7.0,35.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C65945646,37,4G,Standard,11.0,1.0,5.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C12996466,14,4G,Bonus,6.0,2.0,10.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C15055647,37,4G,Bonus,3.0,8.0,239.0,7,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C84965220,47,4G,Bonus,4.0,5.0,82.0,4,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C19284831,59,4G,Standard,3.0,8.0,191.0,6,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C39366466,14,4G,Standard,3.0,8.0,47.0,4,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C69026471,14,4G,Standard,6.0,6.0,527.0,7,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C56006474,13,5G,Standard,8.0,2.0,11.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C21246478,13,4G,Standard,10.0,1.0,1.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C88316478,13,4G,Bonus,3.0,7.0,58.0,4,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C99535197,48,4G,Bonus,3.0,2.0,20.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
